probe,lane,provider,model_request,run,http_status,ttft_first_chunk_ms,ttft_first_content_ms,total_ms,prompt_tokens,completion_tokens,reasoning_tokens,error
dashscope_chat,fast,dashscope,qwen3.8-flash,1,200,523.2,523.2,1275.7,33,31,,
dashscope_chat,fast,dashscope,qwen3.8-flash,2,200,623.7,623.7,1143.1,33,26,,
dashscope_chat,fast,dashscope,qwen3.8-flash,3,200,426.1,426.1,983.9,33,26,,
dashscope_chat,fast,dashscope,qwen3.8-flash,4,200,404.6,404.6,949.5,33,32,,
dashscope_chat,standard_thinking,dashscope,qwen3.8-flash,1,200,428.0,1601.3,1960.6,69,77,51,
dashscope_chat,standard_thinking,dashscope,qwen3.8-flash,2,200,418.7,965.0,1441.5,69,57,32,
dashscope_chat,standard_thinking,dashscope,qwen3.8-flash,3,200,400.1,1194.8,1586.4,69,73,46,
dashscope_chat,standard_thinking,dashscope,qwen3.8-flash,4,200,470.0,858.6,1505.5,69,61,27,
dashscope_chat,reason,dashscope,qwen3.8-flash,1,200,448.2,1486.1,1976.8,69,68,42,
dashscope_chat,reason,dashscope,qwen3.8-flash,2,200,486.9,1098.2,1592.0,69,67,41,
dashscope_chat,reason,dashscope,qwen3.8-flash,3,200,472.9,1326.0,1845.7,69,73,42,
dashscope_chat,reason,dashscope,qwen3.8-flash,4,200,508.9,835.0,1297.9,69,54,24,
dashscope_chat,fast_x_thinking_on,dashscope,qwen3.8-flash,1,200,512.6,1311.2,1691.7,69,84,55,
dashscope_chat,fast_x_thinking_on,dashscope,qwen3.8-flash,2,200,461.1,927.8,1321.8,69,56,29,
dashscope_json_mode,fast,dashscope,qwen3.8-flash,1,200,,,585.8,64,16,,
dashscope_json_mode,fast,dashscope,qwen3.8-flash,2,200,,,534.8,64,16,,
dashscope_json_mode,fast,dashscope,qwen3.8-flash,3,200,533.9,533.9,708.7,64,16,,
minimax_m3,sequential_stream,minimax,MiniMax-M3,1,200,873.7,1250.2,2197.4,184,55,0,
minimax_m3,sequential_stream,minimax,MiniMax-M3,2,200,849.4,1230.0,2171.5,184,71,0,
minimax_m3,sequential_stream,minimax,MiniMax-M3,3,200,573.3,1112.7,1719.1,184,52,0,
minimax_m3,glm_batch_concurrent12,minimax,MiniMax-M3,1,200,,,1144.9,177,16,0,
minimax_m3,glm_batch_concurrent12,minimax,MiniMax-M3,2,200,,,1087.5,177,16,0,
minimax_m3,glm_batch_concurrent12,minimax,MiniMax-M3,3,200,,,1675.6,177,16,0,
minimax_m3,glm_batch_concurrent12,minimax,MiniMax-M3,4,200,,,1046.2,177,16,0,
minimax_m3,glm_batch_concurrent12,minimax,MiniMax-M3,5,200,,,1059.4,177,16,0,
minimax_m3,glm_batch_concurrent12,minimax,MiniMax-M3,6,200,,,1939.2,177,16,0,
minimax_m3,glm_batch_concurrent12,minimax,MiniMax-M3,7,200,,,1362.7,177,16,0,
minimax_m3,glm_batch_concurrent12,minimax,MiniMax-M3,8,200,,,2501.1,177,16,0,
minimax_m3,glm_batch_concurrent12,minimax,MiniMax-M3,9,200,,,1164.5,177,16,0,
minimax_m3,glm_batch_concurrent12,minimax,MiniMax-M3,10,200,,,1545.3,177,16,0,
minimax_m3,glm_batch_concurrent12,minimax,MiniMax-M3,11,200,,,1312.5,177,16,0,
minimax_m3,glm_batch_concurrent12,minimax,MiniMax-M3,12,200,,,995.0,177,16,0,
zhipu_glm_pool,no_thinking,zhipu,glm-4.7,1,401,,,51.0,,,,"{""error"":{""code"":""1000"",""message"":""身份验证失败。""}}"
zhipu_glm_pool,no_thinking,zhipu,glm-4.7,2,401,,,53.1,,,,"{""error"":{""code"":""1000"",""message"":""身份验证失败。""}}"
zhipu_glm_pool,thinking,zhipu,glm-4.7,1,401,,,53.0,,,,"{""error"":{""code"":""1000"",""message"":""身份验证失败。""}}"
zhipu_glm_pool,thinking,zhipu,glm-4.7,2,401,,,50.7,,,,"{""error"":{""code"":""1000"",""message"":""身份验证失败。""}}"
zhipu_glm_pool,no_thinking,zhipu,glm-4.5-air,1,401,,,50.3,,,,"{""error"":{""code"":""1000"",""message"":""身份验证失败。""}}"
zhipu_glm_pool,no_thinking,zhipu,glm-4.6,1,401,,,46.4,,,,"{""error"":{""code"":""1000"",""message"":""身份验证失败。""}}"
zhipu_glm_pool,thinking,zhipu,glm-5.1,1,401,,,46.4,,,,"{""error"":{""code"":""1000"",""message"":""身份验证失败。""}}"
zhipu_glm_pool,thinking,zhipu,glm-5.1,2,401,,,45.5,,,,"{""error"":{""code"":""1000"",""message"":""身份验证失败。""}}"
embedding,dashscope:single,dashscope,qwen3.7-text-embedding-flash,1,200,,,122.0,23,,,
embedding,dashscope:single,dashscope,qwen3.7-text-embedding-flash,2,200,,,136.4,20,,,
embedding,dashscope:single,dashscope,qwen3.7-text-embedding-flash,3,200,,,134.0,23,,,
embedding,dashscope:single,dashscope,qwen3.7-text-embedding-flash,4,200,,,121.5,23,,,
embedding,dashscope:batch8,dashscope,qwen3.7-text-embedding-flash,1,200,,,227.0,175,,,
embedding,dashscope:batch8,dashscope,qwen3.7-text-embedding-flash,2,200,,,179.0,175,,,
embedding,dashscope:single_dim1024,dashscope,qwen3.7-text-embedding-flash,1,200,,,127.2,23,,,
embedding,dashscope:single,dashscope,text-embedding-v4,1,200,,,132.9,8,,,
embedding,dashscope:single,dashscope,text-embedding-v4,2,200,,,123.2,6,,,
embedding,dashscope:batch8,dashscope,text-embedding-v4,3,200,,,224.8,61,,,
embedding,siliconflow:,siliconflow,Qwen/Qwen3-Embedding-4B,,200,,,316.9,,,,
tts,Cherry,dashscope,qwen3-tts-instruct-flash,1,200,,,1494.3,42,,,
tts,Cherry,dashscope,qwen3-tts-instruct-flash,2,200,,,1382.7,42,,,
asr,rt_ws_1,dashscope,qwen3-asr-flash-realtime,1,200,64.4,617.3,617.3,,,,
asr,rt_ws_2,dashscope,qwen3-asr-flash-realtime,2,200,56.1,426.1,426.1,,,,
asr,rt_ws_99,dashscope,qwen3-asr-flash-realtime,99,200,46.5,226.4,226.4,,,,
ocr_zhipu,ocr_vision,zhipu,glm-ocr,,401,,,54.1,,,,"{""error"":{""code"":""1000"",""message"":""身份验证失败。""}}"
ocr_siliconflow,ocr_vision,siliconflow,deepseek-ai/DeepSeek-OCR,,200,,,13550.2,1218,4096,,
qwen38_flash_vision,ocr_vision,dashscope,qwen3.8-flash,,200,,,1740.7,150,49,,
